score,at,content,label,processing_result
3,8/17/2019 15:58,"materinya mudah dipahami, cuma videonya sering bermasalah sewaktu loading, terkadang harus keluarin dulu aplikasinya baru lancar lagi videonya.",1,"['materi', 'mudah', 'paham', 'video', 'masalah', 'loading', 'terkadang', 'keluarin', 'aplikasi', 'lancar', 'video']"
5,11/18/2022 14:11,"Bagus banget , pembahasan nya juga lengkap.",2,"['bagus', 'banget', 'bahas', 'nya', 'lengkap']"
2,6/7/2022 5:55,"Halo kak ,mau kasih kritik ,tolong banget ya buat kakak kakak zenius plis jangan nelponin aku terus,aku gak berlangganan sama kalian,itu nelpon pakek nomor beda beda lagi,sampe udah ku uninstall apknya masih aja di telponin,mohon maaf banget ya kak disini aku ngerasa terganggu dengan telpon spam dari kalian,mohon pengertiannya, terimakasih",0,"['halo', 'kak', 'kasih', 'kritik', 'tolong', 'banget', 'ya', 'kakak', 'kakak', 'zenius', 'plis', 'nelponin', 'gak', 'langgan', 'nelpon', 'pakek', 'nomor', 'beda', 'beda', 'sampe', 'udah', 'ku', 'uninstall', 'apknya', 'aja', 'telponin', 'mohon', 'maaf', 'banget', 'ya', 'kak', 'ngerasa', 'ganggu', 'telpon', 'spam', 'mohon', 'erti', 'terimakasih']"
5,11/11/2022 22:55,Se zenius apk nya,2,"['zenius', 'apk', 'nya']"
2,9/25/2022 8:05,aplikasi nya mulai lemot kakak saat memulai vidio pembelajaran,0,"['aplikasi', 'nya', 'lot', 'kakak', 'vidio', 'ajar']"
4,2/12/2022 13:21,Masih nge-play video padahal udah ganti halaman,0,"['nge', 'play', 'video', 'udah', 'ganti', 'halaman']"
5,3/5/2022 16:26,Apk nyaa kerennn bangetttðŸ¤©,2,"['apk', 'nyaa', 'kerennn', 'bangettt']"
1,2/25/2022 0:50,Lelet bt ðŸ˜£,0,"['lelet', 'bt']"
4,2/1/2023 2:46,"Aplikasi Nya Bgus, Cman Agak Lalot Aja",1,"['aplikasi', 'nya', 'bgus', 'cman', 'lalot', 'aja']"
3,3/7/2022 15:41,saya sangat tertarik sama aplikasi ini membuat aku paham dan mudah mengerti,2,"['tarik', 'aplikasi', 'paham', 'mudah', 'erti']"
3,3/31/2020 7:18,bagus sih cuman ngeselin harus update mulu dan kalo ga update gabisa belajar. huffft gimana mau memanfaatkan kuota edukasi gratis dengan maksimal kalo dikit2 harus update,1,"['bagus', 'sih', 'cuman', 'ngeselin', 'update', 'mulu', 'kalo', 'ga', 'update', 'gabisa', 'ajar', 'huffft', 'gimana', 'manfaat', 'kuota', 'edukasi', 'gratis', 'maksimal', 'kalo', 'dikit', 'update']"
3,4/4/2022 7:53,"TOLONG DONGG, JANGAN MINTA UPDATE MULU HADEHHH.",0,"['tolong', 'dongg', 'update', 'mulu', 'hadehhh']"
